PKNAME,PEAKID,PKNAME2,PKNAME_COSO,LOCATION,osm.x,osm.y,osm,wiki,s,Lat,Lon
Jugal 4,JUG4,NA,Dorje Lhakpa,Jugal Himal (SSE of Dorje Lakpa),0,0,0,0,0,,
Jugal 5,JUG5,NA,,Jugal Himal (W of Yangri),0,0,0,0,0,,
Junction Peak,JUNC,NA,,"Dhaulagiri Himal (on ridge joining Dhaulagiri VI, IV and Churen)",1,0,0,0,1,,
Jyachhung,JYAC,NA,,Byas Risi Himal (NNW of Nampa on Tibetan border),0,0,0,0,0,,
Kabru Dome,KABD,NA,Kabru,Simhalila Himal (SE of Kabru in India),0,0,0,0,0,,
Kabru Main,KABR,Kabru Central,Kabru,Simhalila Himal (S of Talung on Indian border),0,0,0,0,0,,
Kabru North,KABN,NA,Kabru,Simhalila Himal (S of Kabru Main on Indian border),0,0,0,0,0,,
Kabru South,KABS,Kabru IV,Kabru,Simhalila Himal (S of Kabru North on Indian border),0,0,0,0,0,,
Kagmara I,KAG1,NA,,Kagmara Lekh (S of Kanjiroba Himal),0,0,0,0,0,,
Kaipuchonam,KAIP,NA,,Kanti Himal (WNW of Changdi on Tibetan border),0,0,0,0,0,,
Kali Himal,KALI,"Chota Ri, Baruntse North",Baruntse,Khumbu Himal (NW of Baruntse),1,0,0,0,1,,
Kande Hiunchuli,KAND,NA,Kanjiroba ,Kanjiroba Himal (WNW of Kanjiroba),0,0,0,0,0,,
Kande Hiunchuli North  I,KAN1,NA,Kanjiroba ,Kanjiroba Himal (NW of Kanjiroba),0,0,0,0,0,,
Kande Hiunchuli North  II,KAN2,NA,Kanjiroba ,Kanjiroba Himal (NW of Kanjiroba),0,0,0,0,0,,
Kang Guru,KGUR,Naurgaon,,Peri Himal (SW of Himlung Himal),0,0,0,1,1,,
Kang Kuru,KAKU,NA,,"Mustang Himal (NNE of Tsartse, WSW of Ghami village)",0,0,0,0,0,,
Kang Nagchugo,KNAG,Khang Nagchugo,,Rolwaling Himal (E of Chekigo on Tibetan border),0,0,0,0,0,,
