"PKNAME","PEAKID","PKNAME2","PKCONSO","LOCATION","HEIGHTM","ALL","osm.x","osm.y","osm","wiki","LAT","LONG"
"Lashar II","LAS2","Loshar II","Lashar II","Janak Himal (SW of Ghhanyala Hies on Tibetan border)",6803,1,1,0,0,0,,
"Leonpo Gang","LEON","Dorje Pahad, Big White Peak","Leonpo Gang","Jugal Himal (NNE of Dorje Lhakpa on Tibetan border)",6979,0,0,0,0,0,"28,19555556","85,80194444"
"Leonpo Gang East","LEOE","Gyalgen Peak","Leonpo Gang East","Jugal Himal (NE of Leonpo Gang on Tibetan border)",6733,0,0,0,0,0,"28,2025","85,81777778"
"Lhotse","LHOT","NA","Lhotse","Khumbu Himal",8516,2,0,0,1,1,,
"Lhotse Middle","LHOM","Lhotse Intermediate","Lhotse Middle","Khumbu Himal (E of Lhotse)",8410,1,0,0,0,1,,
"Lhotse Shar","LSHR","Lhotse II","Lhotse Shar","Khumbu Himal (ESE of Lhotse and Lhotse Middle)",8382,2,0,0,1,1,,
"Lingtren","LING","NA","Lingtren","Khumbu Himal (ENE of Pumori on Tibetan border)",6713,1,0,0,0,1,,
"Linkhu Chuli Shar","LIK1","Bigphera-Go Shar, Pigpferago Shar, Linkhu Chuli I","Linkhu Chuli I","Rolwaling Himal (S of Parchamo)",6719,0,0,0,0,0,"27,81111111","86,54472222"
"Lugula","LUGU","NA","Lugula Himal","Damodar Himal (E of Bhrikuti Sail on Tibetan border)",6899,0,0,0,0,0,,
"Lunag II","LUN2","NA","Lunag Ri","Rolwaling Himal (SW of Nangpa La near Tibetan border)",6812,0,0,0,0,0,,
"Lunag Ri","LUNR","Lunag I, Rongshar Ri I, Ondrej Peak","Lunag Ri","Rolwaling Himal (SW of Nangpa La on Tibetan border)",6895,2,1,0,0,1,,
"Machhapuchhare","MACH","NA","Annapurna II","Annapurna Himal (SE of Annapurna III)",6993,0,0,0,0,0,,
"Makalu","MAKA","NA","Makalu","Makalu Himal",8485,1,0,0,0,1,,
"Makalu II","MAK2","Kangchungtse","Makalu II","Makalu Himal (NNW of Makalu on Tibetan border)",7678,0,0,0,0,0,"27,91555556","87,08055556"
"Manaslu","MANA","Kutang I, Peak 30","Manaslu","Manaslu Himal",8163,3,0,1,1,1,,
"Manaslu North","MANN","Manaslu II","Manaslu North","Manaslu Himal (N of Manaslu)",6994,1,1,0,0,0,,
"Nampa","NAMP","Chisel Peak","Nampa","Api Himal (E of Api)",6729,1,1,0,0,0,,
"Nangpai Gosum I","NAG1","Nagpai Gosum I, Cho Aui","Nagpai Gosum I","Khumbu Himal (WSW of Cho Oyu on Tibetan border)",7321,0,0,0,0,0,"28,07055556","86,63777778"
"Nangpai Gosum II","NAG2","Nagpai Gosum II, Chamar","Nagpai Gosum II","Khumbu Himal (WSW of Cho Oyu on Tibetan border)",7287,1,0,0,0,1,"28,07472222","86,6525"
"Nemjung","NEMJ","NA","Nemjung","Peri Himal (S of Himlung Himal and Himjung)",7140,1,0,0,0,1,,
"Nepal Gap Peak","NGAP","Nepal Gyap Peak","Nepal Peak II","Kangchenjunga Himal (ENE of Gimmegela on Indian border)",7007,0,0,0,0,0,"27,7786","88,1894"
"Nepal Peak","NEPA","NA","Nepal Peak","Jongsang Himal (N of Kangchenjunga on Indian border)",7177,2,0,1,0,1,,
"Ngojumba Kang I","NGOJ","Ngozumba Kang, Ngozumba Ri, Tenzing Peak","Ngojumba Kang II","Khumbu Himal (NE of Cho Oyu on Tibetan border)",7916,0,0,0,0,0,,
"Ngojumba Kang II","NGO2","NA","Ngojumba Kang II","Khumbu Himal (NE of Cho Oyu on Tibetan border)",7743,1,0,1,0,0,,
"Ngojumba Kang III","NGO3","Hillary Peak","Ngojumba Kang II","Khumbu Himal (NE of Cho Oyu on Tibetan border)",7681,0,0,0,0,0,,
